time,open,high,low,close,Basis,Upper,Lower,Basis,Upper,Lower,EMA,EMA,Volume,Volume MA
2021-08-20T02:00:00Z,1785,1788.5,1784.2,1787.4,1787.0632356396686,1789.0448175003241,1785.081653779013,1782.5752035029645,1784.1121557481513,1781.0382512577778,NaN,NaN,3556,12114.95
2021-08-20T04:00:00Z,1787.4,1789.2,1786.1,1788.7,1788.1316178198344,1788.9602713480292,1787.3029642916397,1784.3376017514822,1786.3983459491994,1782.276857553765,NaN,NaN,4616,11239.65
2021-08-20T06:00:00Z,1788.7,1791,1787.2,1787.5,1789.5658089099172,1790.6188468450946,1788.5127709747399,1785.7688008757411,1787.0079762216023,1784.52962552988,NaN,NaN,7807,10145.15
2021-08-20T08:00:00Z,1787.6,1789.3,1782.2,1783.6,1789.4329044549586,1790.258871903572,1788.606937006345,1783.9844004378706,1786.1296794885163,1781.8391213872248,NaN,NaN,8330,10011.25
2021-08-20T10:00:00Z,1783.5,1788.1,1781.6,1786.7,1788.7664522274792,1789.9562234490022,1787.5766810059563,1782.7922002189352,1785.3026229333123,1780.2817775045582,NaN,NaN,7705,9449.45
2021-08-20T12:00:00Z,1786.6,1788.9,1781.1,1783.5,1788.8332261137398,1789.332113769483,1788.3343384579966,1781.9461001094676,1782.395791343203,1781.4964088757322,NaN,NaN,23566,10537.9
2021-08-20T14:00:00Z,1783.6,1787.2,1780,1787.1,1788.01661305687,1788.7110352817797,1787.3221908319604,1780.973050054734,1781.6413812967667,1780.3047188127011,NaN,NaN,23537,11557.8
2021-08-20T16:00:00Z,1787.2,1789,1783.7,1784.6,1788.508306528435,1789.3342739776122,1787.6823390792579,1782.3365250273669,1783.8878685254483,1780.7851815292854,NaN,NaN,11205,11729.65
2021-08-20T18:00:00Z,1784.6,1785,1783.6,1784.2,1786.7541532642176,1788.3898658180838,1785.1184407103515,1782.9682625136834,1784.6893732610042,1781.2471517663625,NaN,NaN,3822,11333.7
2021-08-20T20:00:00Z,1784.2,1784.3,1781.2,1782.6,1785.5270766321087,1787.5975033203254,1783.456649943892,1782.0841312568418,1783.239793637299,1780.9284688763846,NaN,NaN,1678,11161.95
2021-08-22T22:00:00Z,1781.2,1784.1,1778.8,1780.3,1784.8135383160543,1785.199399550819,1784.4276770812896,1780.442065628421,1782.4016574179757,1778.4824738388663,NaN,NaN,3596,10722.85
2021-08-23T00:00:00Z,1780.2,1788.4,1778,1787.4,1786.6067691580272,1788.5883510184476,1784.6251872976068,1779.2210328142105,1780.580771344515,1777.861294283906,NaN,NaN,10266,10203.85
2021-08-23T02:00:00Z,1787.5,1790.3,1786.8,1788.6,1788.4533845790136,1791.0469664014797,1785.8598027565474,1783.0105164071051,1786.9837602516814,1779.0372725625289,NaN,NaN,6171,10045.25
2021-08-23T04:00:00Z,1788.5,1790,1787.8,1788.1,1789.226692289507,1790.0606920250548,1788.392692553959,1785.4052582035524,1789.8082874618042,1781.0022289453007,NaN,NaN,3575,8582.3
2021-08-23T06:00:00Z,1788,1789.3,1785.8,1787.3,1789.2633461447535,1789.68233965227,1788.844352637237,1785.602629101776,1786.4191256720578,1784.7861325314943,NaN,NaN,7372,7653.55
2021-08-23T08:00:00Z,1787.2,1792,1786.5,1790.3,1790.6316730723768,1791.7757398935223,1789.4876062512312,1786.051314550888,1786.879968066158,1785.222661035618,NaN,NaN,9749,7790
2021-08-23T10:00:00Z,1790.3,1796,1789.9,1793,1793.3158365361883,1796.068209250469,1790.5634638219076,1787.975657275444,1789.7663740726855,1786.1849404782026,NaN,NaN,12714,8002.7
