time,open,high,low,close,EMA,EMA,EMA,Volume,Volume MA
2022-05-27T06:00:00Z,1857.5,1863.6,1856.4,1862.2,1850.459004879334,1853.0584964688355,1859.8217888413058,8047,6321.95
2022-05-27T08:00:00Z,1862.3,1864.4,1860.5,1862.5,1850.9312007664191,1853.9576872813275,1861.1608944206528,4976,6010.65
2022-05-27T10:00:00Z,1862.5,1864.3,1860.6,1862.3,1851.3770360304811,1854.7521932545344,1861.7304472103265,9793,5988.65
2022-05-27T12:00:00Z,1862.3,1866.9,1852.6,1859.9,1851.7112699116387,1855.2424605636263,1860.8152236051633,31639,7514.2
2022-05-27T14:00:00Z,1859.8,1861.3,1854.9,1858.4,1851.9735730523587,1855.5431786051856,1859.6076118025817,22169,8568.7
2022-05-27T16:00:00Z,1858.5,1858.9,1855.7,1857.1,1852.1746094032467,1855.6914473094537,1858.3538059012908,6524,8717.35
2022-05-27T18:00:00Z,1857.1,1858.7,1855.6,1857,1852.363840407041,1855.81607137522,1857.6769029506454,4068,8754.2
2022-05-27T20:00:00Z,1857.2,1858.2,1856.1,1857.3,1852.5574152930394,1855.9573979109132,1857.4884514753226,1265,8571.65
2022-05-29T22:00:00Z,1856.5,1857.1,1849.6,1853.3,1852.5865362619397,1855.7043123955882,1855.3942257376611,2161,8302.2
2022-05-30T00:00:00Z,1853.4,1861,1852.2,1860.3,1852.8890250359814,1856.1419969293418,1857.8471128688307,4157,8123.75
2022-05-30T02:00:00Z,1860.5,1864.7,1860.4,1864.4,1853.340435818884,1856.9284734122616,1861.1235564344154,4557,7863.8
2022-05-30T04:00:00Z,1864.4,1867.8,1863,1866.1,1853.8408108848103,1857.8019521349033,1863.6117782172078,4645,7242.8
2022-05-30T06:00:00Z,1866,1867.9,1861.3,1862,1854.160779085406,1858.2017662172934,1862.8058891086039,6986,6786.75
2022-05-30T08:00:00Z,1861.9,1863.9,1859.6,1861.5,1854.448591670292,1858.5158837204083,1862.152944554302,6312,6798.15
2022-05-30T10:00:00Z,1861.7,1862.9,1857.1,1857.9,1854.583941016555,1858.4572281279884,1860.026472277151,5421,6886.7
2022-05-30T12:00:00Z,1857.9,1864.6,1857.4,1862.5,1854.8943747021801,1858.8422540205609,1861.2632361385754,8237,7265.65
2022-05-30T14:00:00Z,1862.4,1862.5,1857.7,1859.1,1855.0593011844476,1858.866801256698,1860.1816180692877,8369,7602.6
2022-05-30T16:00:00Z,1859.1,1860.3,1856.6,1857.2,1855.1432501576064,1858.7080582798696,1858.6908090346437,2065,7415.05
2022-05-30T18:00:00Z,1857.3,1859.6,1855.7,1857.3,1855.2278285827983,1858.5739574913107,1857.9954045173217,541,7251.3
2022-05-30T22:00:00Z,1859.5,1860,1855,1855.5,1855.2385019717083,1858.2811996349953,1856.7477022586609,1840,7188.6
2022-05-31T00:00:00Z,1855.5,1855.6,1848.3,1851.6,1855.0958156198765,1857.6448949078529,1854.1738511293304,9681,7270.3
2022-05-31T02:00:00Z,1851.6,1855.8,1850.9,1854.8,1855.0842150073322,1857.3739525356764,1854.4869255646652,3616,7202.3
2022-05-31T04:00:00Z,1854.6,1856.9,1853.5,1855.4,1855.0965987325349,1857.1859570560882,1854.9434627823325,3834,6904.35
2022-05-31T06:00:00Z,1855.4,1859.1,1854.8,1857.6,1855.194771331259,1857.2253897174132,1856.2717313911662,7247,5684.75
2022-05-31T08:00:00Z,1857.5,1860.2,1851.8,1852.9,1855.1047802986607,1856.8134478395643,1854.5858656955832,8484,5000.5
2022-05-31T10:00:00Z,1853,1853.9,1847.4,1851.6,1854.9673379340072,1856.316928997701,1853.0929328477914,12460,5297.3
2022-05-31T12:00:00Z,1851.5,1858.6,1849.8,1854,1854.9294031130657,1856.096269093158,1853.5464664238957,21169,6152.35
2022-05-31T14:00:00Z,1854,1854.4,1841.3,1846.3,1854.5909951478475,1855.163291084286,1849.9232332119477,36572,7917.7
2022-05-31T16:00:00Z,1846.2,1849.3,1844.4,1845.4,1854.230563965579,1854.2334538381635,1847.661616605974,13363,8477.8
2022-05-31T18:00:00Z,1845.3,1846.1,1837.6,1838.7,1853.6215222414387,1852.754077282148,1843.1808083029869,10929,8816.4
2022-05-31T20:00:00Z,1838.7,1841,1838,1840,1853.0873448986372,1851.5394032552767,1841.5904041514934,2546,8715.85
2022-05-31T22:00:00Z,1840,1840.9,1838.5,1838.9,1852.5309784320239,1850.335650564298,1840.2452020757469,1424,8554.8
2022-06-01T00:00:00Z,1838.9,1839,1835.2,1837,1851.9219204542974,1849.0655886057934,1838.6226010378734,7866,8598.8
2022-06-01T02:00:00Z,1837.1,1840.1,1836.2,1839,1851.4151784756975,1848.1069611195273,1838.8113005189366,5127,8539.55
2022-06-01T04:00:00Z,1838.9,1838.9,1831.8,1834.5,1850.7518381433172,1846.8110600605248,1836.6556502594683,7805,8658.75
2022-06-01T06:00:00Z,1834.3,1839,1833.6,1835.9,1850.169413118089,1845.771911483332,1836.277825129734,9462,8720
2022-06-01T08:00:00Z,1835.8,1839.3,1830.2,1833.6,1849.5196322114973,1844.6126818182527,1834.938912564867,11116,8857.35
2022-06-01T10:00:00Z,1833.5,1835.4,1831.1,1831.7,1848.820823105164,1843.3829025974667,1833.3194562824335,6444,9076.3
2022-06-01T12:00:00Z,1831.7,1852.3,1830.9,1848.2,1848.79647710104,1843.8416737786604,1840.7597281412168,44284,11263.45
2022-06-01T14:00:00Z,1848.2,1850.6,1840.4,1848.4,1848.7809289794307,1844.2758000854546,1844.5798640706084,34363,12889.6
2022-06-01T16:00:00Z,1848.5,1852.9,1847.4,1850.7,1848.8561866665118,1844.8876286487448,1847.6399320353044,14648,13137.95
2022-06-01T18:00:00Z,1850.8,1853,1849.7,1850.4,1848.9167283658642,1845.4126163964834,1849.0199660176522,5525,13233.4
2022-06-01T20:00:00Z,1850.4,1850.8,1849.2,1849.5,1848.9396017632812,1845.8018910253898,1849.259983008826,1096,13096.5
2022-06-01T22:00:00Z,1849.9,1850.5,1848.4,1848.9,1848.9380487529565,1846.0969490229718,1849.079991504413,1446,12806.45
2022-06-02T00:00:00Z,1849.1,1851.6,1847.3,1847.4,1848.8777331155857,1846.2210491160222,1848.2399957522066,3962,12580.35
2022-06-02T02:00:00Z,1847.4,1849.1,1846.5,1847.2,1848.8119396600725,1846.314282533544,1847.7199978761032,2663,12090.5
2022-06-02T04:00:00Z,1847.3,1851.8,1846.6,1851,1848.8977459479129,1846.760541339873,1849.3599989380516,5379,11301
2022-06-02T06:00:00Z,1851,1856.3,1850.9,1854,1849.0978343421123,1847.4500135932185,1851.679999469026,8794,9912.1
2022-06-02T08:00:00Z,1854.1,1858.1,1853.4,1857.2,1849.415566328696,1848.3785837271978,1854.439999734513,6064,9547.15
2022-06-02T10:00:00Z,1857.2,1860.1,1856.7,1859,1849.7914264726687,1849.3901471817503,1856.7199998672565,7729,9387.15
2022-06-02T12:00:00Z,1858.9,1871.2,1853.8,1867.4,1850.4819587678583,1851.1053712596788,1862.0599999336282,41760,11347.85
