time,open,high,low,close,EMA,EMA,EMA,Volume,Volume MA
2023-01-04T14:00:00Z,1866.1,1867,1861.2,1863.1,1846.1705469228204,1856.5197463986083,1862.7811791405863,13381,6564.35
2023-01-04T15:00:00Z,1862.9,1864.5,1854.7,1863.8,1846.8618980238864,1857.213103884455,1863.0358843554397,27248,7463.55
2023-01-04T16:00:00Z,1863.9,1866.6,1862.2,1864.7,1847.5614314347145,1857.926141609745,1863.4519132665798,11751,7829.4
2023-01-04T17:00:00Z,1864.7,1866.1,1856,1856.5,1847.9119635353138,1857.790318599293,1861.7139349499348,9229,8146.6
2023-01-04T18:00:00Z,1856.5,1860.1,1855.8,1856.8,1848.2605139849093,1857.6960025422175,1860.4854512124512,10852,8634.45
2023-01-04T19:00:00Z,1856.2,1858.6,1853,1858.4,1848.6581408874617,1857.7630499191491,1859.9640884093383,8430,8991.7
2023-01-04T20:00:00Z,1858.4,1861.6,1857.2,1861.1,1849.1460569310907,1858.080854688754,1860.2480663070037,4320,9117.45
2023-01-04T21:00:00Z,1861.2,1863.1,1859.8,1860.7,1849.5991527377146,1858.3302970993489,1860.3610497302527,1930,9016.9
2023-01-04T23:00:00Z,1861.2,1862.6,1859.8,1860.3,1850.0187938068239,1858.5178878517918,1860.3457872976896,1569,8925.45
2023-01-05T00:00:00Z,1860.2,1861.7,1859.3,1860.5,1850.4298215006738,1858.7066604373354,1860.3843404732672,1764,8892.7
2023-01-05T01:00:00Z,1860.3,1864.3,1860.2,1864.2,1850.9698285006475,1859.2298356337797,1861.3382553549504,3136,8965.55
2023-01-05T02:00:00Z,1864,1864,1858.6,1862.1,1851.4063058143477,1859.5031846210388,1861.5286915162128,3309,8993.7
2023-01-05T03:00:00Z,1862,1862.2,1858.4,1858.5,1851.6844899000596,1859.407643228559,1860.7715186371597,1961,8892
2023-01-05T04:00:00Z,1858.5,1858.7,1854.9,1857.5,1851.912549119665,1859.225962921077,1859.9536389778698,3761,8400.4
2023-01-05T05:00:00Z,1857.4,1858.7,1855.8,1857.7,1852.1395079777174,1859.0806331190697,1859.3902292334024,2397,7676.35
2023-01-05T06:00:00Z,1857.7,1860.8,1855.6,1855.8,1852.2830566844736,1858.7681918696344,1858.4926719250518,4076,7540.1
2023-01-05T07:00:00Z,1855.8,1860.3,1853.4,1854.7,1852.3778387752786,1858.3807450249074,1857.5445039437889,5623,7517.3
2023-01-05T08:00:00Z,1854.8,1855.8,1849,1851.8,1852.35517843115,1857.7540074034875,1856.1083779578416,11741,7809.65
2023-01-05T09:00:00Z,1851.7,1855.9,1850,1853.8,1852.4118381005167,1857.3774352698222,1855.5312834683812,5465,7614
2023-01-05T10:00:00Z,1854,1856.7,1853,1854.3,1852.4858836652022,1857.0843461965057,1855.223462601286,5731,6883.7
2023-01-05T11:00:00Z,1854.4,1856.2,1851.2,1851.4,1852.443299992057,1856.5429798920766,1854.2675969509646,4654,6447.35
2023-01-05T12:00:00Z,1851.3,1853.9,1849.9,1850.5,1852.3670921492312,1855.967457997593,1853.3256977132235,5631,5366.5
